"account","activities","low","calculated","start","end"
"GDDDFA6R3YGCREGBFJDZXZZYIPONICY2P7TMYOCGXZMJHIPN3M6UTNTZ","0","20000","20000","20000","20000"
"GCXY377Y3FZ246OMLG6YMLJABCM4SWZ4FSOCOL3D6JYTLHRQIOT6AM7C","0","20000","20000","20000","20000"
"GAR2EAFHDVBTI2KS7JTGKUSNRL4Z553UYAZIZWPUDPMKVEPZX6HN33NU","0","19895.7400078","19895.7400078","19895.7400078","104895.7400078"
"GCLDBBVWHW6WYU5KIWHUT2SPJ4GC2EGF5FHSPT4C27XK2G72VICU4A7U","1","19115.7074019","19615.7074019","19115.7074019","19615.7074019"
"GBUZSEIZWWXA6ETU5Y23P2LVNEDJ24SLRJRMBFHKUHRCKM6EYN2GVCKO","3","10341.4381231","10341.4381231","18341.4381231","10341.4381231"
"GASTOSPEZM272FHQ3SZFMJMTCGFOTCTF5EX35OU5BXOS7G6OG5LQQOBZ","0","17000.0000001","17000.0000001","17000.0000001","52000.0000029"
"GA5VA5XRUDBEFHZW4F5PAAUZ6ENQF6ZVNSXTV5GKBY3SZBAAZS5G2ZPJ","0","16999.9999995","16999.9999995","16999.9999995","16999.9999995"
"GC4UYXSSW4LWVZ5MR5M6HQNXHNG3XJGCIEEUQHIYYORPYNVZ4Z6JOT5P","0","16791.8857374","16791.8857374","16791.8857374","10101.0017727"
"GBXSKVCDTJL2O6HRJ27JLY4FYEJJXZSAJDKF3TTC4LQGKGITHUS722FD","0","16683.0232607","16683.0232607","16683.0232607","105366.0234085"
"GCGIOEKJXUVXHQFR7FSYNNZFFGUBALES225V7LGQ2PYDYZHIWCFI2LAT","0","16630.950023","16630.950023","16630.950023","16630.950023"
"GC4VPFJK4WCETBMMFHDSOLHRM3IB2FWZXMCOIWQK6GY24ERQVZ5X34WN","0","16000","16000","16000","16000"
"GDVMLODZLZXLYPH6D32ZF52GZLRKP27EFWASCQFSVUQ74VNT2DERQKBD","0","15107.9441632","15107.9441632","15107.9441632","15107.9441632"
"GBJ4NA5JMBCLJVJX7KVBFSX7SK5XJHY2L5LIVTTRSIOAW2G5XGHPN5EJ","0","15060.0600511","15060.0600511","15060.0600511","15060.0600511"
"GALP5WOOL43R3XFKHH7KNJ5O5G4HA2LJDMA7UB2ZP53B53UMUPC7OQV7","3","15013.7497626","19013.7497675","15013.7497626","10013.7640642"
"GAZ2BIQ76ONZVQDVDN3SD4YTYJBTF3ZBX5Y2ZCMYUINHXRMO4TLPW4FO","0","15000.7941305","15000.7941305","15000.7941305","20000.6815352"
"GDDPKEI3LYAXAMUVRLGEUZLEYJQGX5MUOO5UUKSNEP5SQPH6XMUA5L2R","1","15000","30000","15000","30000"
"GALHG4IPRMFBYGTGJNBZNUT5R5KYC4PEV4QKFHEIDBBBEXFVW6R4JPEG","0","14048.6794083","14048.6794083","14048.6794083","32594.6079619"
"GCZ3KKC76EOCPEOXADRHBSFU7PZPNPPAFSID7WPZKWHNYAB3QN6H73XM","12","10014.5831077","30047.049906","13777.2540133","14047.1350552"
"GAJ2KJTZYN4ZSARHFKI5MATUIIJJXRXK2T3XONZWRCCGHN6I7IIIW623","0","13227.1407584","13227.1407584","13227.1407584","13227.1407584"
"GAG2KHV47DJL45NTISDBM6RXHBOCER44VSYI76FOXIK62IM6HUGK6UEZ","0","13154.4855455","13154.4855455","13154.4855455","13154.4855455"
